DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.00586,0.006836,0.00586,0.007812,0.00879,0.00586,0.007812,0.01465,0.004883,0.1641,0.0742,0.001953,0.2432,0.0742
0.00586,0.006836,0.006836,0.007812,0.00879,0.00586,0.007812,0.01465,0.00586,0.1641,0.0742,0.00293,0.2441,0.07324
0.003906,0.007812,0.00586,0.007812,0.009766,0.006836,0.007812,0.01563,0.006836,0.165,0.0742,0.001953,0.2451,0.0742
0.003906,0.00879,0.00586,0.007812,0.009766,0.00586,0.007812,0.01465,0.007812,0.165,0.07324,0.000977,0.2461,0.0742
0.004883,0.00879,0.00586,0.007812,0.009766,0.00586,0.00879,0.01367,0.007812,0.165,0.07324,0.000977,0.2461,0.0742
0.00586,0.00879,0.004883,0.007812,0.009766,0.006836,0.00879,0.01465,0.007812,0.166,0.07324,0.000977,0.2471,0.07324
0.004883,0.009766,0.004883,0.00879,0.01074,0.006836,0.00879,0.01465,0.007812,0.166,0.07324,0.001953,0.2471,0.0742
0.004883,0.00879,0.004883,0.00879,0.01172,0.007812,0.009766,0.01465,0.007812,0.166,0.07324,0.000977,0.248,0.07324
0.00586,0.00879,0.003906,0.00879,0.01172,0.006836,0.009766,0.01563,0.007812,0.166,0.07324,0.0,0.249,0.0742
0.00586,0.00879,0.004883,0.00879,0.01172,0.006836,0.00879,0.01563,0.007812,0.167,0.07324,0.0,0.248,0.07324
0.004883,0.00879,0.003906,0.00879,0.01172,0.00586,0.007812,0.01465,0.006836,0.167,0.0742,0.000977,0.25,0.0742
0.00586,0.007812,0.00293,0.00879,0.01172,0.00586,0.007812,0.01465,0.006836,0.166,0.0742,0.0,0.25,0.07227
0.00586,0.007812,0.00293,0.007812,0.01172,0.00586,0.007812,0.01465,0.007812,0.166,0.0742,0.000977,0.251,0.07324
0.00586,0.007812,0.001953,0.007812,0.012695,0.00586,0.007812,0.01465,0.006836,0.166,0.07324,0.0,0.252,0.07227
0.00586,0.007812,0.00293,0.00879,0.01367,0.004883,0.00879,0.01563,0.00586,0.166,0.0742,0.000977,0.252,0.07324
0.006836,0.007812,0.001953,0.009766,0.01465,0.00586,0.007812,0.01563,0.00586,0.166,0.0742,0.0,0.252,0.07227
0.006836,0.007812,0.001953,0.00879,0.01465,0.00586,0.006836,0.01563,0.004883,0.165,0.0742,0.0,0.253,0.07227
0.007812,0.007812,0.001953,0.00879,0.01465,0.00586,0.007812,0.01563,0.004883,0.166,0.0713,0.0,0.254,0.07227
0.00879,0.00879,0.001953,0.00879,0.0166,0.00586,0.006836,0.0166,0.004883,0.166,0.0713,0.0,0.255,0.07227
0.006836,0.006836,0.00293,0.009766,0.01563,0.00586,0.007812,0.01563,0.003906,0.166,0.0664,0.000977,0.2559,0.0713
0.006836,0.007812,0.00293,0.009766,0.01563,0.00586,0.007812,0.01465,0.004883,0.165,0.0654,0.0,0.2568,0.0713
0.006836,0.00879,0.003906,0.01074,0.0166,0.00586,0.006836,0.01465,0.00293,0.165,0.0635,0.000977,0.2568,0.06934
0.006836,0.007812,0.00293,0.00879,0.0166,0.006836,0.006836,0.01465,0.003906,0.165,0.06152,0.0,0.2578,0.0703
0.00586,0.006836,0.00293,0.009766,0.01758,0.007812,0.007812,0.01465,0.004883,0.1641,0.0586,0.0,0.2578,0.06836
0.006836,0.007812,0.00293,0.009766,0.01855,0.00586,0.007812,0.012695,0.003906,0.1631,0.05664,0.000977,0.2578,0.0703
0.006836,0.006836,0.00293,0.00879,0.01758,0.006836,0.007812,0.01367,0.003906,0.1611,0.0547,0.000977,0.2588,0.06836
0.006836,0.00586,0.00293,0.009766,0.01758,0.00586,0.007812,0.012695,0.003906,0.1611,0.0537,0.000977,0.2598,0.06836
0.006836,0.00586,0.00293,0.00879,0.0166,0.006836,0.006836,0.012695,0.003906,0.1602,0.05176,0.001953,0.2598,0.0674
0.00586,0.00586,0.00293,0.009766,0.0166,0.006836,0.007812,0.01367,0.003906,0.1602,0.0498,0.000977,0.2617,0.06836
0.006836,0.004883,0.00293,0.00879,0.01563,0.00586,0.007812,0.01367,0.003906,0.1592,0.04883,0.000977,0.2627,0.0674
0.006836,0.004883,0.00293,0.01074,0.01465,0.00586,0.007812,0.01367,0.003906,0.1592,0.04785,0.000977,0.2607,0.06836
0.00586,0.003906,0.001953,0.009766,0.01465,0.004883,0.007812,0.01367,0.003906,0.1592,0.04688,0.001953,0.2578,0.0664
